"CPUBID_XRND","MPUBID_XRND","CRACE_XRND","CSEX_XRND","CYRB_XRND","BPI2014_2014","DIGIT2014_2014","COGNP2014_2014","MATH2014_2014","RECOG2014_2014","COMP2014_2014","PPVT2014_2014"
508903,5089,2,1,2003,0,14,61,67,61,48,114
514201,5142,1,2,2000,20,NA,42,62,50,66,NA
514202,5142,1,2,2004,90,10,77,46,50,49,115
514303,5143,1,1,2000,90,NA,23,47,67,70,NA
521604,5216,3,1,2000,10,NA,1,55,64,49,NA
525802,5258,3,2,2001,10,NA,42,79,81,82,NA
528604,5286,3,1,2001,30,NA,0,66,75,72,NA
535302,5353,3,2,2001,10,NA,23,67,52,50,NA
537403,5374,3,1,2002,20,NA,90,53,48,53,NA
538803,5388,3,1,2001,0,NA,NA,NA,NA,NA,NA
539301,5393,3,2,2002,130,NA,NA,NA,NA,NA,NA
547402,5474,3,1,2001,120,NA,42,55,60,48,NA
570901,5709,3,2,2001,10,NA,8,49,37,41,NA
573201,5732,1,2,2000,10,NA,NA,NA,NA,NA,NA
573202,5732,1,1,2003,50,NA,NA,NA,NA,NA,NA
577304,5773,1,1,2004,240,8,5,42,33,41,104
577305,5773,1,2,2005,20,10,14,51,36,36,NA
586104,5861,1,1,2000,10,NA,NA,NA,NA,NA,NA
586804,5868,1,2,2001,60,NA,23,69,74,65,NA
596302,5963,1,2,2002,30,NA,NA,NA,NA,NA,NA
597603,5976,2,1,2002,130,NA,NA,NA,NA,NA,NA
616106,6161,2,2,2000,170,NA,23,44,51,42,NA
617101,6171,2,1,2000,50,NA,42,42,64,52,NA
620503,6205,2,2,2000,50,NA,1,48,71,46,NA
621402,6214,2,1,2003,80,NA,NA,NA,NA,NA,NA
627406,6274,2,2,2000,30,NA,12,73,67,57,NA
631102,6311,2,2,2000,40,NA,42,51,48,46,NA
634205,6342,2,2,2002,0,NA,23,62,55,48,NA
636203,6362,2,1,2003,210,NA,42,49,44,63,NA
637111,6371,2,2,2002,100,NA,0,47,59,29,NA
637203,6372,2,1,2006,50,NA,NA,NA,NA,NA,NA
637403,6374,2,1,2000,10,NA,12,66,80,54,NA
637902,6379,2,2,2000,90,NA,90,62,66,40,NA
642802,6428,2,2,2005,160,4,30,15,31,22,NA
647003,6470,2,2,2005,120,11,70,22,35,41,NA
660404,6604,2,2,2004,110,13,42,58,35,30,109
664602,6646,2,1,2002,20,NA,61,66,81,77,NA
671801,6718,2,1,2002,60,NA,37,41,62,46,NA
678002,6780,1,2,2005,10,18,70,61,47,48,NA
682602,6826,1,1,2000,10,NA,42,77,84,52,NA
685202,6852,2,2,2002,20,NA,61,47,69,70,NA
695003,6950,2,1,2000,0,NA,NA,NA,NA,NA,NA
704801,7048,1,1,2004,10,15,42,65,77,48,109
704904,7049,1,2,2003,120,NA,0,58,69,50,NA
721402,7214,1,2,2001,50,NA,61,75,80,65,NA
723202,7232,2,1,2006,160,8,6,29,23,22,NA
726310,7263,2,1,2000,190,NA,5,43,55,34,NA
726311,7263,2,2,2002,50,NA,23,41,54,54,NA
728504,7285,2,1,2004,80,8,77,52,42,54,108
736801,7368,2,2,2000,NA,NA,NA,62,68,64,NA
739603,7396,2,2,2000,40,NA,42,49,66,60,NA
744303,7443,2,1,2000,NA,NA,5,47,46,49,NA
