"","Kommunkod","Region","Population","Andel_födda_på_population"
"101","2510","Jokkmokk",4728,8.88
"192","2513","Överkalix",3162,6.96
"103","2514","Kalix",15547,7.08
"193","2518","Övertorneå",4088,7.34
"195","2521","Pajala",5871,7.66
"61","2523","Gällivare",17330,8.94
"7","2560","Älvsbyn",7783,7.84
"143","2580","Luleå",79352,8.25
"198","2581","Piteå",42344,8.67
"28","2582","Boden",27943,8.02
"81","2583","Haparanda",9177,5.01
"114","2584","Kiruna",22433,9.45
